licenseCategory,licenseType,licensePrefix,businessOrIndividual,renewalCycle,year,renewalExpirationDate
Nursing,Psychiatric Technician - Mentally Ill,MI,Individual,Two Year,Odd,31-Mar
Nursing,Registered Nurse (half renew each year),RN,Individual,Two Year,Odd and Even,30-Sep
Nursing Home Administrators,Nursing Home Administrator,NHA,Individual,Annual,,28-Feb
Nursing Home Administrators,Nursing Home Administrator - In Training,AIT,Individual,Do not renew,,
Occupational Therapy,Occupational Therapist,OT,Individual,Two Year,Odd,31-Jan
Occupational Therapy,Occupational Therapy Assistant,OTA,Individual,Two Year,Odd,31-Jan
Optometric,Optometrist,OPT,Individual,Two Year,Odd,31-Mar
Optometric,Optometrist Volunteer,OPV,Individual,Two Year,Odd,31-Mar
Outfitters,Outfitter,OUT,Business,Annual,,31-Mar
Passenger Tramway,Tramway Lift,TRM,Business,Annual,Relative Date,
Pharmacy,Limited License,LTD,Business,Two Year,Even,31-Oct
Pharmacy,Manufacturer,MFR,Business,Two Year,Even,31-Oct
Pharmacy,Other Outlet,OO,Business,Two Year,Even,31-Oct
Pharmacy,Pharmacist,PHA,Individual,Two Year,Odd,31-Oct
Pharmacy,Pharmacist Intern,IN,Individual,Two Year,Odd,31-Oct
Pharmacy,Prescription Drug Outlet- In-State,PDO,Business,Two Year,Even,31-Oct
Pharmacy,Prescription Drug Outlet-Out-of-State,OSP,Business,Two Year,Even,31-Oct
Pharmacy,Wholesaler In-State,WHI,Business,Two Year,Even,31-Oct
Pharmacy,Wholesaler Out-of-State,WHO,Business,Two Year,Even,31-Oct
Physical Therapy,Physical Therapist,PTL,Individual,Two Year,Even,31-Oct
Physical Therapy,Physical Therapist Assistant,PTA,Individual,Two Year,Even,31-Oct
Physical Therapy,Physical Therapy Provisional,PTLP,Individual,Do not renew,,
Plumbers,Journeyman Plumber,JP,Individual,Two Year,Odd,31-Aug
Plumbers,Master Plumber,MP,Individual,Two Year,Odd,31-Aug
Plumbers,Plumbing Apprentice,AP,Individual,Do not renew,,
Plumbers,Plumbing Contractor,PC,Business,Two Year,Odd,31-Aug
Plumbers,Residential Plumber,RP,Individual,Two Year,Odd,31-Aug
Plumbers,Water Conditioning Contractor,WC,Business,Two Year,Odd,28-Feb
Plumbers,Water Conditioning Installer,WI,Individual,Two Year,Odd,28-Feb
Plumbers,Water Conditioning Principal,WP,Individual,Two Year,Odd,28-Feb
Podiatry,Podiatrist,POD,Individual,Annual,,31-Aug
Podiatry,Podiatrist Training License,PDT,Individual,Do not renew,,
Podiatry,Podiatrist Volunteer License,PDV,Individual,Annual,,31-Aug
Private Investogators,Private Investigator 1,PI1,Individual,One Year,,31-May
Private Investogators,Private Investigator 2,PI2,Individual,One Year,,31-May
Professional Counselors,Licensed Professional Counselor,LPC,Individual,Two Year,Odd,31-Aug
Professional Counselors,Licensed Professional Counselor Candidate,LPCC,Individual,Do not renew,,
Professional Counselors,Provisional Licensed Professional Counselor,LPP,Individual,Two Year,Odd,31-Aug
Psychologists,Licensed Psychologist,PSY,Individual,Two Year,Odd,31-Aug
Psychologists,Licensed Psychologist Candidate,PSYC,Individual,Do not renew,,
Psychologists,Provisional Psychologist,PSP,Individual,Two Year,Odd,31-Aug
Respiratory Therapy,Respiratory Therapist,RTL,Individual,Two Year,Even,31-Aug
Social Work,Licensed Clinical Social Worker,CSW,Individual,Two Year,Odd,31-Aug
Social Work,Licensed Social Worker,LSW,Individual,Two Year,Odd,31-Aug
Social Work,Provisional Social Worker,SWP,Individual,Two Year,Odd,31-Aug
Speech Language Pathology,Provisional Speech Language Pathologist,PSLP,Individual,Do not renew,,
Speech Language Pathology,Speech Language - Pathologist,SLP,Individual,Two Year,Even,30-Nov
Surgical Assistant and Surgical Technologist,Surgical Assistant,SA,Individual,Annual,,31-Mar
Surgical Assistant and Surgical Technologist,Surgical Technologist,ST,Individual,Annual,,31-Mar
Registered Psychotherapist,Registered Psychotherapist,NLC,Individual,Two Year,Odd,31-Aug
Veterinary,Academic Veterinarians,AV,Individual,Two Year,Even,31-Aug
Veterinary,Veterinarian,VET,Individual,Two Year,Even,31-Oct
Fantasy Contests,Fantasy Contest Operator License,FCOL,Business,Annual,,31-Jul
Fantasy Contests,Fantasy Contest Operator Registration,FCOR,Business,Annual,,31-Jul
Medical,Compact Physician,CDR,Individual,Two Year,Odd,30-May
Medical,Compact Physician Home,CDRH,Individual,Two Year,Odd,30-May
Tissue Banks,Nontransplant Tissue Bank,NTTB,Business,Annual,,30-Jun
Pharmacy,Pharmacy Technician,PHAT,Individual,Two Year,Odd,31-Oct
Pharmacy,Provisional Pharmacy Technician,PHATP,Individual,Do not renew,,
